10.22,0.23,7.23,0.042,0.044
10.82,0.23,8.067,0.0119,0.165
10.24,0.23,8.487,0.096,0.119
10.42,0.23,7.57,0.062,0.074
10.83,0.23,7.745,0.038,0.04
10.85,0.23,8.068,0.048,0.063
10.93,0.23,8.102,0.037,0.041
10.49,0.23,7.612,0.107,0.136
10.58,0.23,7.858,0.154,0.23
10.64,0.23,7.292,0.101,0.097
10.64,0.23,6.775,0.084,0.112
10.53,0.25,7.395,0.037,0.061
9.33,0.23,6.558,0.081,0.088
10.4,0.23,6.67,0.045,0.054
9.96,0.23,6.212,0.071,0.089
8.92,0.25,6.13,0.121,0.155
9.78,0.25,7.555,0.051,0.047
10.04,0.23,6.133,0.166,0.173
9.81,0.24,6.822,0.05,0.057
11.11,0.23,8.839,0.077,0.113
11.06,0.23,7.758,0.175,0.219
10.68,0.25,6.882,0.084,0.104
10.79,0.24,6.407,0.11,0.183
11.11,0.23,8.537,0.094,0.161
10.98,0.23,7.435,0.099,0.133
11.01,0.23,8.539,0.125,0.169
10.87,0.23,9.007,0.106,0.164
10.84,0.23,7.586,0.064,0.072
11.68,0.23,8.339,0.164,0.271
10.31,0.23,8.667,0.084,0.128
11.23,0.23,8.786,0.091,0.103
10.6,0.23,8.638,0.04,0.046
9.94,0.23,6.913,0.075,0.119
9.67,0.29,7.038,0.056,0.058
11.14,0.23,7.433,0.035,0.035
9.84,0.23,6.956,0.048,0.05