17,5.88,6.64,4,0.15,0.2
20,6.99,7.33,12,0.15,0.2
20,6.81,7.45,6,0.15,0.2
25,7.24,7.54,3,0.15,0.2
27,6.94,7.3,4,0.15,0.2
29,6.76,7.32,5,0.2,0.13
30,7.26,7.56,6,0.15,0.2
31,6.67,7.85,4,0.15,0.2
35,7.72,7.93,6,0.15,0.2
37,7.78,8.32,4,0.15,0.2
37,7.58,7.96,7,0.2,0.06
38,7.34,7.75,5,0.15,0.2
38,7.34,8.02,5,0.15,0.2
40,7.57,7.78,4,0.15,0.2
41,7.2,7.56,4,0.15,0.2
44,7.24,8.45,3,0.15,0.2
45,6.97,7.94,6,0.2,0.05
53,6.88,8.29,5,0.2,0.15
54,8.07,8.74,3,0.15,0.2
56,7.28,7.85,5,0.15,0.2
58,8.25,8.46,3,0.37,0.39
59,7.63,8.62,7,0.2,0.07
59,7.77,8.58,6,0.15,0.2
60,8.45,9.09,5,0.15,0.2
64,8.12,9.21,5,0.39,0.41
66,7.41,8.79,3,0.15,0.2
66,8.09,9.02,7,0.15,0.2
68,7.41,9.06,7,0.2,0.05
68,8.94,9.2,5,0.15,0.2
72,9.22,9.28,6,0.16,0.2
74,8.75,9.32,3,0.27,0.29
77,8.7,9.23,3,0.15,0.2
78,8.36,8.96,3,0.15,0.2
79,8.17,9.05,3,0.37,0.39
83,8.3,9.04,8,0.21,0.24
83,9,9.33,5,0.19,0.22
84,8.96,9.32,5,0.15,0.2
84,7.99,8.78,10,0.15,0.2
90,8.98,9.27,3,0.38,0.4
95,8.92,9.01,3,0.15,0.17
108,9.53,9.74,3,0.16,0.2
111,9.41,9.63,5,0.17,0.21
118,9.5,9.87,4,0.18,0.22
120,9.62,9.71,6,0.18,0.22
124,9.38,9.65,5,0.18,0.22
134,9.61,9.77,3,0.15,0.2
149,10.12,10.29,3,0.15,0.2